"","pmid","title","nodeA","edge","nodeB","context","nodeA_normalized","edge_normalized","nodeB_normalized","context_normalized"
"1396","29484125","Oncogene c-Myc promotes epitranscriptome m6A reader YTHDF1 expression in colorectal cancer.","Oncogene c-Myc","promote","YTHDF1","Colorectal Cancer","Oncogene c-Myc","STIMULATES","YTHDF1","COAD(Colon Adenocarcinoma)"
"1414","29855337","Ythdf2-mediated m6A mRNA clearance modulates neural development in mice.","Ythdf2","mediate","m6A mRNA clearance","Neural development in mice","YTHDF2","AFFECTS","m6A mRNA clearance","Neural development in mice"
"1415","29855337","Ythdf2-mediated m6A mRNA clearance modulates neural development in mice.","m6A mRNA clearance","modulate","Neural development","Neural development in mice","m6A mRNA clearance","AFFECTS","Neural development","Neural development in mice"
"1417","30065315","Suppression of m6A reader Ythdf2 promotes hematopoietic stem cell expansion.","dummy","induce suppression of","Ythdf2","hematopoietic stem cell.","dummy","INHIBITS","YTHDF2","hematopoietic stem cell."
"1418","30065315","Suppression of m6A reader Ythdf2 promotes hematopoietic stem cell expansion.","Ythdf2","promote","expansion","hematopoietic stem cell.","YTHDF2","STIMULATES","expansion","hematopoietic stem cell."
"1427","33692441","N-methyladenosine reader YTHDF2-mediated long noncoding RNA FENDRR degradation promotes cell proliferation in endometrioid endometrial carcinoma.","YTHDF2","mediate","long noncoding RNA FENDRR degradation","Endometrioid Endometrial Carcinoma","YTHDF2","AFFECTS","FENDRR degradation","Endometrioid Endometrial Carcinoma"
"1428","33692441","N-methyladenosine reader YTHDF2-mediated long noncoding RNA FENDRR degradation promotes cell proliferation in endometrioid endometrial carcinoma.","long noncoding RNA FENDRR degradation","promote","Cell Proliferation","Endometrioid Endometrial Carcinoma","long noncoding RNA FENDRR degradation","STIMULATES","cell population proliferation","Endometrioid Endometrial Carcinoma"
"1437","28106076","Cytoplasmic m6A reader YTHDF3 promotes mRNA translation.","YTHDF3","promote","mRNA translation","Null","YTHDF3","STIMULATES","translation","Null"
"1442","33886094","Nuclear m6A reader YTHDC1 regulates the scaffold function of LINE1 RNA in mouse ESCs and early embryos.","YTHDC1","regulate scaffold function of","LINE1 RNA","Mouse ESCs and early embryos","YTHDC1","AFFECTS","LINE1","Mouse ESCs and early embryos"
"1454","31031138","Targeting the RNA m6A Reader YTHDF2 Selectively Compromises Cancer Stem Cells in Acute Myeloid Leukemia.","YTHDF2","compromise","Cancer Stem Cells","Acute Myeloid Leukemia","YTHDF2","COMPLICATES","Cancer Stem Cells","LAML(Acute Myeloid Leukemia)"
"1472","32782536","Knockdown of m6A methyltransferase METTL3 in gastric cancer cells results in suppression of cell proliferation.","dummy","induce knockdown of","METTL3","Gastric Cancer","dummy","INHIBITS","METTL3","STAD(Stomach adenocarcinoma)"
"1473","32782536","Knockdown of m6A methyltransferase METTL3 in gastric cancer cells results in suppression of cell proliferation.","METTL3","suppress","Cell Proliferation","Gastric Cancer","METTL3","INHIBITS","cell population proliferation","STAD(Stomach adenocarcinoma)"
"1475","33083017","A defined N6-methyladenosine (m6A) profile conferred by METTL3 regulates muscle stem cell/myoblast state transitions.","METTL3","confer","N6-methyladenosine (m6A)","muscle stem cell/myoblast","METTL3","PRODUCES","m6A","muscle stem cell/myoblast"
"1476","33083017","A defined N6-methyladenosine (m6A) profile conferred by METTL3 regulates muscle stem cell/myoblast state transitions.","N6-methyladenosine (m6A)","regulate","state transition","muscle stem cell/myoblast","m6A","AFFECTS","state transition","muscle stem cell/myoblast"
"1486","32783360","The 18S rRNA m6A methyltransferase METTL5 promotes mouse embryonic stem cell differentiation.","METTL5","promote","differentiation","Mouse embryonic stem cell","METTL5","STIMULATES","cell differentiation","Mouse Embryonic Stem Cells"
"1488","26218273","The Demethylase Activity of FTO (Fat Mass and Obesity Associated Protein) Is Required for Preadipocyte Differentiation.","FTO","required for","Preadipocyte Differentiation","Null","FTO","CAUSES","Preadipocyte Differentiation","Null"
"1493","34315853","The m6A mRNA demethylase FTO in granulosa cells retards FOS-dependent ovarian aging.","FTO","regulate","FOS","granulosa cells","FTO","AFFECTS","FOS_family","Granulosa Cells"
"1494","34315853","The m6A mRNA demethylase FTO in granulosa cells retards FOS-dependent ovarian aging.","FOS","retard","Ovarian Aging","granulosa cells","FOS_family","INHIBITS","Ovarian Aging","Granulosa Cells"
"1496","34288397","Conditional deficiency of m6A methyltransferase Mettl14 in substantia nigra alters dopaminergic neuron function.","dummy","induce deficiency of","Mettl14","Substantia nigra","dummy","INHIBITS","METTL14","Substantia Nigra"
"1497","34288397","Conditional deficiency of m6A methyltransferase Mettl14 in substantia nigra alters dopaminergic neuron function.","Mettl14","alter","Dopaminergic neuron function","Substantia nigra","METTL14","AFFECTS","Dopaminergic neuron function","Substantia Nigra"
"1499","34329695","EBV downregulates the m6A writer WTAP in EBV-associated gastric carcinoma.","EBV","downregulate","WTAP","EBV-associated gastric carcinoma","Herpesvirus 4, Human","INHIBITS","WTAP","STAD(Stomach adenocarcinoma)"
"1501","31799605","The human methyltransferase ZCCHC4 catalyses N6-methyladenosine modification of 28S ribosomal RNA.","ZCCHC4","catalyses","N6-methyladenosine","Null","ZCCHC4","AUGMENTS","m6A","Null"
"1502","31799605","The human methyltransferase ZCCHC4 catalyses N6-methyladenosine modification of 28S ribosomal RNA.","N6-methyladenosine","is on","28S ribosomal RNA","Null","m6A","LOCATES","RNA, Ribosomal, 28S","Null"
"1507","32449584","m6A demethylase ALKBH5 promotes proliferation of esophageal squamous cell carcinoma associated with poor prognosis.","ALKBH5","promote","Proliferation","Esophageal Squamous Cell Carcinoma associated with poor prognosis","ALKBH5","STIMULATES","cell population proliferation","ESCA(Esophageal Carcinoma)"
"1508","32449584","m6A demethylase ALKBH5 promotes proliferation of esophageal squamous cell carcinoma associated with poor prognosis.","proliferation","associate","poor prognosis","Esophageal Squamous Cell Carcinoma associated with poor prognosis","cell population proliferation","ASSOCIATED_WITH","Poor prognosis","ESCA(Esophageal Carcinoma)"
"1510","33023892","The RNA m6A reader YTHDF2 maintains oncogene expression and is a targetable dependency in glioblastoma stem cells.","YTHDF2","maintain","Oncogene expression","Glioblastoma stem cells","YTHDF2","MAINTAINS","Oncogenes","Glioblastoma stem cells"
"1512","33740664","METTL3 regulates skeletal muscle specific miRNAs at both transcriptional and post-transcriptional levels.","METTL3","regulate","miRNAs","skeletal muscle","METTL3","AFFECTS","MicroRNAs","Muscle, Skeletal"
"1514","31328227","The human 18S rRNA m6A methyltransferase METTL5 is stabilized by TRMT112.","TRMT112","stabilize","METTL5","Null","TRMT112","MAINTAINS","METTL5","Null"
"1516","33204330","YTHDF1-enhanced iron metabolism depends on TFRC m6A methylation.","YTHDF1","enhance","Iron metabolism","Null","YTHDF1","AUGMENTS","Iron metabolism","Null"
"1517","33204330","YTHDF1-enhanced iron metabolism depends on TFRC m6A methylation.","Iron metabolism","depend on","TFRC m6A methylation","Null","Iron metabolism","INTERACTS_WITH","TFRC m6A methylation","Null"
"1540","32964498","m6A RNA methyltransferases METTL3/14 regulate immune responses to anti-PD-1 therapy.","METTL3","regulate","immune responses to anti-PD-1 therapy","Null","METTL3","AFFECTS","immune responses to anti-PD-1 therapy","Null"
"1541","32964498","m6A RNA methyltransferases METTL3/14 regulate immune responses to anti-PD-1 therapy.","METTL14","regulate","immune responses to anti-PD-1 therapy","Null","METTL14","AFFECTS","immune responses to anti-PD-1 therapy","Null"
"1553","32843065","Upregulation of METTL14 mediates the elevation of PERP mRNA N6 adenosine methylation promoting the growth and metastasis of pancreatic cancer.","dummy","induce upregulation of","METTL14","Pancreatic Cancer","dummy","STIMULATES","METTL14","PAAD(Pancreatic Adenocarcinoma)"
"1554","32843065","Upregulation of METTL14 mediates the elevation of PERP mRNA N6 adenosine methylation promoting the growth and metastasis of pancreatic cancer.","METTL14","elevate","PERP mRNA N6 adenosine methylation","Pancreatic Cancer","METTL14","STIMULATES","PERP mRNA N6 adenosine methylation","PAAD(Pancreatic Adenocarcinoma)"
"1555","32843065","Upregulation of METTL14 mediates the elevation of PERP mRNA N6 adenosine methylation promoting the growth and metastasis of pancreatic cancer.","PERP mRNA N6 adenosine methylation","promote","Growth","Pancreatic Cancer","PERP mRNA N6 adenosine methylation","STIMULATES","Growth","PAAD(Pancreatic Adenocarcinoma)"
"1556","32843065","Upregulation of METTL14 mediates the elevation of PERP mRNA N6 adenosine methylation promoting the growth and metastasis of pancreatic cancer.","elevation of PERP mRNA N6 adenosine methylation","promote","metastasis","Pancreatic Cancer","elevation of PERP mRNA N6 adenosine methylation","STIMULATES","Neoplasm Metastasis","PAAD(Pancreatic Adenocarcinoma)"
"1567","32869897","METTL3 regulates m6A in endometrioid epithelial ovarian cancer independently of METTl14 and WTAP.","METTL3","regulate","m6A","Endometrioid Epithelial Ovarian Cancer","METTL3","AFFECTS","m6A","UCEC(Uterine Corpus Endometrial Carcinoma)"
"1574","33217317","Stabilization of ERK-Phosphorylated METTL3 by USP5 Increases m6A Methylation.","USP5","stabilize","ERK-Phosphorylated METTL3","Null","USP5","MAINTAINS","ERK-Phosphorylated METTL3","Null"
"1575","33217317","Stabilization of ERK-Phosphorylated METTL3 by USP5 Increases m6A Methylation.","ERK-Phosphorylated METTL3","increase","m6A Methylation","Null","ERK-Phosphorylated METTL3","AUGMENTS","m6A","Null"
"1577","31697949","METTL14-Dependent m6A Regulates Vascular Calcification Induced by Indoxyl Sulfate.","METTL14","regulate","m6A","Null","METTL14","AFFECTS","m6A","Null"
"1578","31697949","METTL14-Dependent m6A Regulates Vascular Calcification Induced by Indoxyl Sulfate.","m6A","regulate","Vascular Calcification","Null","m6A","AFFECTS","Vascular Calcification","Null"
"1579","31697949","METTL14-Dependent m6A Regulates Vascular Calcification Induced by Indoxyl Sulfate.","Indoxyl Sulfate","induce","Vascular Calcification","Null","indoxyl sulfate","CAUSES","Vascular Calcification","Null"
"1581","32053707","HIV protease cleaves the antiviral m6A reader protein YTHDF3 in the viral particle.","HIV protease","cleave","YTHDF3","Viral particle","HIV Protease","DISRUPTS","YTHDF3","Virion"
"1583","32344536","Modification of Adenosine by Mettl3 Methyltransferase in the 5'-External Transcribed Spacer of 47S Pre-rRNA Affects rRNA Maturation.","Mettl3","modify","Adenosine","5'-External Transcribed Spacer of 47S Pre-rRNA","METTL3","AFFECTS","adenosine","5'-External Transcribed Spacer of 47S Pre-rRNA"
"1584","32344536","Modification of Adenosine by Mettl3 Methyltransferase in the 5'-External Transcribed Spacer of 47S Pre-rRNA Affects rRNA Maturation.","Adenosine","affect","rRNA Maturation","5'-External Transcribed Spacer of 47S Pre-rRNA","adenosine","AFFECTS","rRNA Maturation","5'-External Transcribed Spacer of 47S Pre-rRNA"
"1598","33867838","CircMETTL3, upregulated in a m6A-dependent manner, promotes breast cancer progression.","m6A","upregulate","CircMETTL3","Breast Cancer","m6A","STIMULATES","CircMETTL3","BRCA(Breast Invasive Carcinoma)"
"1599","33867838","CircMETTL3, upregulated in a m6A-dependent manner, promotes breast cancer progression.","CircMETTL3","promote","Progression","Breast Cancer","CircMETTL3","STIMULATES","progression","BRCA(Breast Invasive Carcinoma)"
"1670","33999206","The N6-methyladenosine RNA-binding protein YTHDF1 modulates the translation of TRAF6 to mediate the intestinal immune response.","YTHDF1","modulate","TRAF6","Null","YTHDF1","AFFECTS","TRAF6","Null"
"1671","33999206","The N6-methyladenosine RNA-binding protein YTHDF1 modulates the translation of TRAF6 to mediate the intestinal immune response.","TRAF6","mediate","Intestinal immune response","Null","TRAF6","AFFECTS","Intestinal immune response","Null"
"1799","34430596","METTL3-induced UCK2 m6A hypermethylation promotes melanoma cancer cell metastasis via the WNT/beta-catenin pathway.","METTL3","induce","UCK2","Melanoma Cancer","METTL3","CAUSES","UCK2","SKCM(Skin Cutaneous Melanoma)"
"1800","34430596","METTL3-induced UCK2 m6A hypermethylation promotes melanoma cancer cell metastasis via the WNT/beta-catenin pathway.","UCK2","regulate","WNT/beta-catenin pathway","Melanoma Cancer","UCK2","AFFECTS","WNT/beta-catenin pathway","SKCM(Skin Cutaneous Melanoma)"
"1801","34430596","METTL3-induced UCK2 m6A hypermethylation promotes melanoma cancer cell metastasis via the WNT/beta-catenin pathway.","WNT/beta-catenin pathway","promote","Metastasis","Melanoma Cancer","WNT/beta-catenin pathway","STIMULATES","Neoplasm Metastasis","SKCM(Skin Cutaneous Melanoma)"
"1812","29879109","METTL3-mediated m6A modification is required for cerebellar development.","METTL3","mediate","m6A","Cerebellar Development","METTL3","AFFECTS","m6A","Cerebellar Development"
"1813","29879109","METTL3-mediated m6A modification is required for cerebellar development.","m6A","is required for","cerebellar development","Cerebellar Development","m6A","CAUSES","cerebellar development","Cerebellar Development"
"1815","30364964","N6-methyladenosine modification and METTL3 modulate enterovirus 71 replication.","N6-methyladenosine","modulate","Replication","Enterovirus 71","m6A","AFFECTS","replication","Enterovirus 71"
"1816","30364964","N6-methyladenosine modification and METTL3 modulate enterovirus 71 replication.","METTL3","modulate","Replication","Enterovirus 71","METTL3","AFFECTS","replication","Enterovirus 71"
"1822","31015515","Mettl3-mediated mRNA m6A methylation promotes dendritic cell activation.","METTL3","mediate","m6A methylation","dendritic cell","METTL3","AFFECTS","m6A","Dendritic Cells"
"1823","31015515","Mettl3-mediated mRNA m6A methylation promotes dendritic cell activation.","m6A methylation","activate","dendritic cell","dendritic cell","m6A","STIMULATES","Dendritic Cells","Dendritic Cells"
"1829","33795874","m6A-independent genome-wide METTL3 and METTL14 redistribution drives the senescence-associated secretory phenotype.","METTL3","drive","the senescence-associated secretory phenotype","Null","METTL3","STIMULATES","the senescence-associated secretory phenotype","Null"
"1830","33795874","m6A-independent genome-wide METTL3 and METTL14 redistribution drives the senescence-associated secretory phenotype.","METTL14","drive","the senescence-associated secretory phenotype","Null","METTL14","STIMULATES","the senescence-associated secretory phenotype","Null"
"1832","33852874","A methionine-Mettl3-N6-methyladenosine axis promotes polycystic kidney disease.","methionine-Mettl3-N6-methyladenosine axis","promote","Polycystic Kidney Disease","Polycystic Kidney Disease","methionine-Mettl3-N6-methyladenosine axis","STIMULATES","polycystic kidney disease","polycystic kidney disease"
"1849","34530916","METTL3-dependent MALAT1 delocalization drives c-Myc induction in thymic epithelial tumors.","METTL3","regulate","MALAT1","Thymic Epithelial Tumors","METTL3","AFFECTS","MALAT1","THYM(Thymoma)"
"1850","34530916","METTL3-dependent MALAT1 delocalization drives c-Myc induction in thymic epithelial tumors.","MALAT1","drive","c-Myc","Thymic Epithelial Tumors","MALAT1","STIMULATES","MYC","THYM(Thymoma)"
"1852","34535671","METTL3-mediated m6A RNA methylation promotes the anti-tumour immunity of natural killer cells.","METTL3","mediate","m6A methylation","natural killer cell","METTL3","AFFECTS","m6A","Killer Cells, Natural"
"1853","34535671","METTL3-mediated m6A RNA methylation promotes the anti-tumour immunity of natural killer cells.","m6A methylation","promote","Anti-tumour immunity","natural killer cell","m6A","STIMULATES","anti-tumor immunity","Killer Cells, Natural"
